0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
30.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,8.0,5.0,252.0,1.0,999.0,0.0,2.0,-2.9,92.20100000000001,-31.4,0.8490000000000001,5076.2
37.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,7.0,3.0,524.0,4.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.957,5228.1
32.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,2.0,72.0,1.0,999.0,2.0,1.0,-1.8,92.89299999999999,-46.2,1.344,5099.1
33.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,351.0,3.0,999.0,0.0,2.0,-1.8,93.075,-47.1,1.4980000000000002,5099.1
77.0,6.0,2.0,8.0,1.0,2.0,1.0,1.0,11.0,5.0,381.0,1.0,999.0,0.0,2.0,-3.4,92.649,-30.1,0.7140000000000001,5017.5
44.0,1.0,2.0,7.0,3.0,2.0,1.0,2.0,5.0,5.0,124.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
48.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,2.0,88.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
25.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,6.0,5.0,534.0,3.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.959,5228.1
45.0,5.0,2.0,7.0,1.0,1.0,1.0,1.0,5.0,4.0,647.0,1.0,999.0,1.0,1.0,-1.8,92.89299999999999,-46.2,1.327,5099.1
45.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,7.0,3.0,520.0,4.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.963,5228.1
37.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,11.0,1.0,235.0,4.0,999.0,0.0,2.0,-3.4,92.649,-30.1,0.722,5017.5
37.0,1.0,1.0,7.0,3.0,2.0,1.0,1.0,5.0,3.0,291.0,8.0,999.0,1.0,1.0,-1.8,92.89299999999999,-46.2,1.281,5099.1
32.0,5.0,3.0,7.0,1.0,1.0,1.0,1.0,4.0,5.0,82.0,1.0,999.0,1.0,1.0,-1.8,93.075,-47.1,1.405,5099.1
52.0,8.0,2.0,7.0,1.0,2.0,2.0,2.0,6.0,3.0,516.0,2.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.959,5228.1
53.0,10.0,1.0,4.0,1.0,2.0,1.0,1.0,7.0,2.0,201.0,4.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.961,5228.1
32.0,8.0,2.0,4.0,1.0,2.0,1.0,2.0,5.0,2.0,570.0,1.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.857,5191.0
27.0,8.0,3.0,4.0,1.0,2.0,1.0,2.0,7.0,5.0,433.0,1.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.959,5228.1
48.0,5.0,1.0,7.0,1.0,1.0,1.0,2.0,5.0,3.0,236.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.856,5191.0
34.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,6.0,3.0,129.0,1.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.962,5228.1
44.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,11.0,2.0,132.0,1.0,999.0,0.0,2.0,-0.1,93.2,-42.0,4.1530000000000005,5195.8
53.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,3.0,86.0,1.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.963,5228.1
44.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,11.0,5.0,77.0,5.0,999.0,0.0,2.0,-0.1,93.2,-42.0,4.021,5195.8
36.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,5.0,5.0,10.0,5.0,999.0,0.0,2.0,-1.8,92.89299999999999,-46.2,1.25,5099.1
47.0,10.0,1.0,6.0,1.0,2.0,1.0,1.0,7.0,5.0,239.0,1.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.957,5228.1
51.0,11.0,1.0,4.0,1.0,1.0,1.0,1.0,12.0,4.0,112.0,2.0,999.0,0.0,2.0,-3.0,92.713,-33.0,0.7140000000000001,5023.5
34.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,7.0,4.0,12.0,1.0,999.0,1.0,1.0,-1.7,94.215,-40.3,0.782,4991.6
32.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,5.0,5.0,200.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.859,5191.0
37.0,3.0,1.0,4.0,3.0,2.0,1.0,1.0,7.0,3.0,538.0,2.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.957,5228.1
29.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,9.0,2.0,600.0,2.0,3.0,3.0,3.0,-1.1,94.199,-37.5,0.88,4963.6
29.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,6.0,5.0,364.0,1.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.959,5228.1
37.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,98.0,4.0,999.0,0.0,2.0,-1.8,92.89299999999999,-46.2,1.344,5099.1
35.0,8.0,3.0,4.0,1.0,1.0,2.0,2.0,5.0,4.0,225.0,7.0,999.0,1.0,1.0,-1.8,92.89299999999999,-46.2,1.266,5099.1
35.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,13.0,9.0,999.0,0.0,2.0,-1.8,92.89299999999999,-46.2,1.25,5099.1
37.0,1.0,2.0,7.0,1.0,2.0,1.0,2.0,5.0,4.0,1059.0,2.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.86,5191.0
27.0,11.0,2.0,3.0,1.0,1.0,1.0,2.0,5.0,4.0,84.0,14.0,999.0,0.0,2.0,1.1,93.994,-36.4,4.86,5191.0
55.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,8.0,2.0,245.0,1.0,999.0,0.0,2.0,-1.7,94.027,-38.3,0.904,4991.6
27.0,1.0,2.0,7.0,1.0,3.0,3.0,1.0,7.0,5.0,352.0,1.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.962,5228.1
37.0,8.0,2.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,108.0,2.0,999.0,1.0,1.0,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1
38.0,7.0,3.0,8.0,1.0,1.0,1.0,1.0,7.0,2.0,843.0,8.0,999.0,0.0,2.0,1.4,93.91799999999999,-42.7,4.961,5228.1
36.0,10.0,2.0,6.0,1.0,1.0,1.0,1.0,11.0,1.0,251.0,2.0,999.0,0.0,2.0,-0.1,93.2,-42.0,4.191,5195.8
41.0,5.0,2.0,4.0,1.0,3.0,3.0,2.0,6.0,5.0,190.0,1.0,999.0,0.0,2.0,1.4,94.465,-41.8,4.967,5228.1
